band,OV,BRCA,ER,TRI
1_p21.3,0.377960256493079,1,1,1
1_p22.1,0.288492218877817,1,1,1
1_p22.2,0.2454747368111,0.814518143516133,1,1
1_p22.3,0.377960256493079,0.814518143516133,1,1
1_p31.1,0.377960256493079,1,1,1
1_p31.2,0.288492218877817,0.96898478929468,1,1
1_p31.3,0.377960256493079,1,1,1
1_p32.1,0.450630106757857,1,1,1
1_p32.2,0.584623979550167,1,1,1
1_p32.3,0.450630106757857,1,1,1
1_p33,0.450630106757857,0.814518143516133,1,1
1_p34.1,0.655354925357714,0.814518143516133,1,1
1_p34.2,0.377960256493079,0.814518143516133,1,1
1_p34.3,1,0.814518143516133,1,1
1_p35.1,1,0.814518143516133,1,1
1_p35.2,0.288492218877817,1,1,1
1_p35.3,0.288492218877817,1,1,1
1_p36.11,0.450630106757857,1,1,1
1_p36.12,0.377960256493079,1,1,1
1_p36.13,0.450630106757857,1,1,1
1_p36.21,0.288492218877817,1,1,1
1_p36.22,0.450630106757857,0.814518143516133,1,1
1_p36.23,0.450630106757857,0.814518143516133,1,1
1_p36.31,0.450630106757857,0.96898478929468,1,1
1_p36.32,0.450630106757857,0.96898478929468,1,1
1_p36.33,0.450630106757857,1,1,1
1_q11,0.200897321629785,1,1,1
1_q12,0.200897321629785,1,1,1
1_q21.1,0.200897321629785,1,1,1
1_q21.2,0.167793700698893,1,1,1
1_q21.3,0.361796439599617,1,1,1
1_q22,0.200897321629785,1,1,1
1_q23.1,0.450630106757857,1,1,1
1_q23.2,0.288492218877817,1,1,1
1_q23.3,0.268625968599438,1,1,1
1_q24.1,0.450630106757857,1,1,1
1_q24.2,0.450630106757857,1,1,1
1_q24.3,0.302507299985981,1,1,1
1_q25.1,0.450630106757857,1,1,1
1_q25.2,0.302507299985981,1,1,1
1_q25.3,0.302507299985981,1,1,1
1_q31.1,0.377960256493079,1,1,1
1_q31.2,0.200897321629785,1,1,1
1_q31.3,0.200897321629785,1,1,1
1_q32.1,0.450630106757857,1,1,1
1_q32.2,0.450630106757857,1,1,1
1_q32.3,0.450630106757857,1,1,1
1_q41,1,1,1,1
1_q42.11,1,1,1,1
1_q42.12,1,1,1,1
1_q42.13,1,1,1,1
1_q42.2,0.729027931198055,1,1,1
1_q42.3,0.729027931198055,1,1,1
1_q43,0.729027931198055,1,1,1
1_q44,0.633267360493665,0.96898478929468,1,1
20_p11.1,0.155380700196934,1,1,1
20_p11.21,0.200897321629785,1,1,1
20_p11.22,0.222124671381748,1,1,1
20_p11.23,0.200897321629785,1,1,1
20_p12.1,0.288492218877817,1,1,1
20_p12.2,0.288492218877817,1,1,1
20_p12.3,0.265598017803284,1,1,1
20_p13,0.450630106757857,1,1,1
20_q11.1,0.155380700196934,1,1,1
20_q11.21,0.155380700196934,1,1,1
20_q11.22,0.155380700196934,1,1,1
20_q11.23,0.167793700698893,1,1,1
20_q12,0.119770627877451,1,1,1
20_q13.11,0.155380700196934,1,1,1
20_q13.12,0.200897321629785,1,1,1
20_q13.13,0.217728505400625,1,1,1
20_q13.2,0.218248330975314,0.814518143516133,1,1
20_q13.31,0.2454747368111,0.96898478929468,1,1
20_q13.32,0.217797481764761,0.96898478929468,1,1
20_q13.33,0.200897321629785,0.96898478929468,1,1
21_p11.1,0.200897321629785,1,1,1
21_q11.1,0.200897321629785,1,1,1
21_q11.2,0.200897321629785,1,1,1
21_q21.1,0.200897321629785,1,1,1
21_q21.2,0.2454747368111,1,1,1
21_q21.3,0.288492218877817,1,1,1
21_q22.11,0.2454747368111,1,1,1
21_q22.12,0.288492218877817,1,1,1
21_q22.13,0.288492218877817,1,1,1
21_q22.2,0.288492218877817,1,1,1
21_q22.3,0.450630106757857,1,1,1
22_q11.1,0.450630106757857,1,1,1
